"term","category","weight"
"suits","0","37"
"pond","0","38"
"frogs","0","42"
"butts","0","42"
"escaped","0","43"
"witnessed","0","50"
"backpack","0","57"
"beaches","0","58"
"adopt","0","67"
"aquarium","0","111"
"beware","0","130"
"loses","0","154"
"octopus","0","177"
"nut","0","188"
"robot","0","194"
"pet","0","235"
"shark","0","246"
"saved","0","280"
"sea","0","322"
"homeless","0","350"
"wonders","0","358"
"awkward","0","365"
"huge","0","413"
"named","0","502"
"naked","0","526"
"teenage","0","807"
"midget","0","1127"
"mega","0","1321"
"penguin","0","1494"
"turtles","0","1509"
"ninja","0","1740"
"shell","0","1778"
"giant","0","3160"
"turtle","0","3412"
"wandering","1","41"
"joking","1","42"
"shook","1","42"
"coma","1","54"
"encounter","1","58"
"kindly","1","59"
"specifically","1","60"
"gentleman","1","64"
"granny","1","75"
"elderly","1","76"
"whispered","1","77"
"she'd","1","96"
"manager","1","100"
"informed","1","100"
"explaining","1","114"
"stood","1","120"
"immediately","1","123"
"suggested","1","123"
"newspaper","1","123"
"replies","1","130"
"counter","1","130"
"touched","1","135"
"grabbed","1","144"
"yelled","1","152"
"texted","1","162"
"agreed","1","167"
"recently","1","171"
"quietly","1","173"
"handed","1","173"
"shocked","1","187"
"returned","1","188"
"continued","1","204"
"mentioned","1","205"
"offered","1","218"
"asks","1","235"
"he'd","1","244"
"pointed","1","253"
"laughed","1","255"
"quickly","1","266"
"refused","1","272"
"explained","1","314"
"wrote","1","362"
"showed","1","366"
"grew","1","421"
"doll","1","578"
"smiled","1","685"
"answered","1","769"
"reply","1","861"
"couldn't","1","959"
"walked","1","1116"
"response","1","1313"
"lady","1","1375"
"gave","1","1482"
"looked","1","1752"
"boy","1","1838"
"replied","1","3422"
"wanted","1","3468"
"told","1","7378"
"asked","1","17848"
"colder","2","47"
"specially","2","68"
"hotter","2","76"
"secretly","2","95"
"ruin","2","156"
"phase","2","159"
"envy","2","179"
"ya'll","2","192"
"lovers","2","345"
"famous","2","375"
"jealousy","2","532"
"hatin","2","815"
"hated","2","847"
"mad","2","908"
"bitches","2","1198"
"hater","2","1705"
"jealous","2","2395"
"hating","2","2949"
"haters","2","5102"
"hate","2","16269"
"idc","3","43"
"msg","3","85"
"needa","3","87"
"ahold","3","114"
"gimme","3","117"
"lemme","3","145"
"han","3","175"
"hmu","3","297"
"wana","3","442"
"idk","3","647"
"ou","3","895"
"somethin","3","901"
"hangout","3","943"
"plans","3","1458"
"txt","3","1911"
"chill","3","1953"
"talk","3","3458"
"call","3","5927"
"bored","3","8702"
"text","3","8987"
"hang","3","12140"
"wanna","3","14770"
"attempted","4","34"
"areas","4","41"
"froze","4","42"
"sideways","4","48"
"abandoned","4","48"
"buses","4","50"
"melted","4","56"
"venture","4","57"
"vehicle","4","59"
"melting","4","64"
"slipped","4","65"
"jeep","4","67"
"carefully","4","68"
"waist","4","69"
"accidents","4","70"
"overnight","4","73"
"thankfully","4","74"
"trapped","4","79"
"driven","4","79"
"pushed","4","80"
"flooded","4","81"
"blocking","4","87"
"sledding","4","89"
"windshield","4","91"
"drifting","4","94"
"pushing","4","97"
"freeze","4","100"
"porch","4","102"
"layer","4","103"
"buried","4","108"
"frost","4","110"
"covering","4","115"
"thick","4","117"
"neighborhood","4","125"
"melt","4","127"
"dug","4","127"
"slip","4","128"
"solid","4","133"
"garage","4","135"
"slipping","4","137"
"dangerous","4","151"
"digging","4","154"
"trucks","4","171"
"snows","4","171"
"sheet","4","177"
"stranded","4","177"
"wheel","4","184"
"pile","4","193"
"conditions","4","230"
"dig","4","235"
"neighbor","4","250"
"slide","4","251"
"tires","4","256"
"neighbors","4","261"
"clearing","4","274"
"sliding","4","282"
"hill","4","288"
"salt","4","291"
"streets","4","318"
"drift","4","320"
"snowy","4","343"
"fog","4","353"
"sidewalk","4","371"
"ditch","4","374"
"inch","4","374"
"blizzard","4","402"
"frozen","4","412"
"storm","4","465"
"snowing","4","483"
"street","4","548"
"cleared","4","574"
"careful","4","612"
"inches","4","631"
"cars","4","764"
"clear","4","854"
"icy","4","898"
"snowed","4","996"
"covered","4","1018"
"shoveling","4","1227"
"road","4","1229"
"driving","4","1502"
"shovel","4","1565"
"stuck","4","2318"
"ice","4","2360"
"driveway","4","2555"
"car","4","3240"
"drive","4","3460"
"roads","4","3787"
"snow","4","18644"
"pointed","5","40"
"donut","5","40"
"tags","5","44"
"sunglasses","5","49"
"bicycle","5","50"
"sidewalk","5","56"
"registration","5","56"
"plates","5","58"
"bumper","5","59"
"dash","5","60"
"bikes","5","61"
"ditch","5","61"
"thankfully","5","63"
"sticker","5","65"
"horns","5","66"
"smashed","5","67"
"motorcycle","5","68"
"dumbass","5","69"
"liquor","5","72"
"exit","5","73"
"parks","5","73"
"chased","5","80"
"blocks","5","85"
"taxi","5","90"
"entrance","5","92"
"flipped","5","93"
"drivin","5","97"
"blocked","5","98"
"witnessed","5","100"
"illegal","5","110"
"luckily","5","112"
"permit","5","115"
"lane","5","118"
"trucks","5","119"
"arrested","5","119"
"yelled","5","121"
"drives","5","121"
"windshield","5","128"
"spaces","5","130"
"infront","5","133"
"zone","5","137"
"blocking","5","138"
"pulling","5","146"
"stopping","5","149"
"chasing","5","157"
"rolled","5","158"
"reverse","5","159"
"mph","5","163"
"yelling","5","165"
"busted","5","168"
"waving","5","183"
"drivers","5","196"
"vehicle","5","197"
"spots","5","228"
"accident","5","245"
"trunk","5","254"
"highway","5","271"
"pulls","5","273"
"neighborhood","5","293"
"license","5","329"
"officer","5","352"
"driver","5","389"
"horn","5","474"
"driveway","5","501"
"pull","5","547"
"stopped","5","598"
"truck","5","616"
"seat","5","652"
"garage","5","656"
"lights","5","760"
"window","5","826"
"drove","5","990"
"traffic","5","1046"
"spot","5","1074"
"park","5","1287"
"speeding","5","1345"
"drive","5","1385"
"parked","5","1401"
"police","5","1452"
"front","5","1563"
"street","5","1729"
"cops","5","1991"
"pulled","5","2704"
"driving","5","2712"
"ticket","5","2761"
"parking","5","3105"
"cars","5","3286"
"cop","5","3952"
"car","5","11198"
"morn","6","51"
"infinity","6","60"
"hopin","6","81"
"cookin","6","88"
"movin","6","99"
"tommorrow","6","120"
"girlies","6","137"
"wi","6","145"
"messy","6","172"
"tomorow","6","210"
"tommorow","6","230"
"catching","6","302"
"tonite","6","456"
"seein","6","482"
"foward","6","878"
"marcus","6","1304"
"ward","6","2042"
"lookin","6","11937"
"forward","6","17822"
"flippin","7","46"
"buds","7","93"
"cheers","7","359"
"couples","7","490"
"retreat","7","2242"
"great","7","8106"
"amazing","7","8245"
"awesome","7","11905"
"weekend","7","17377"
"icing","8","33"
"latte","8","43"
"jello","8","47"
"cone","8","47"
"fatty","8","53"
"slice","8","59"
"waffles","8","59"
"delight","8","61"
"galaxy","8","63"
"crave","8","63"
"tasted","8","67"
"muffins","8","69"
"cocoa","8","76"
"tasty","8","81"
"calories","8","82"
"flavor","8","83"
"bananas","8","88"
"dairy","8","89"
"cupcake","8","91"
"triple","8","92"
"swiss","8","92"
"packet","8","98"
"blueberry","8","99"
"blizzard","8","106"
"donut","8","109"
"yogurt","8","110"
"berry","8","112"
"flavored","8","124"
"topped","8","125"
"biscuit","8","131"
"fountain","8","132"
"snack","8","134"
"yummm","8","137"
"popcorn","8","142"
"frozen","8","151"
"sticky","8","153"
"mmmmmmm","8","156"
"donuts","8","157"
"muffin","8","160"
"syrup","8","170"
"sauce","8","174"
"cherry","8","180"
"coconut","8","187"
"tastes","8","189"
"biscuits","8","202"
"banana","8","218"
"sweets","8","242"
"eaten","8","242"
"willy","8","277"
"mocha","8","292"
"melted","8","294"
"oreos","8","302"
"yumm","8","303"
"mmmmmm","8","329"
"dessert","8","350"
"brownies","8","351"
"taste","8","392"
"chips","8","419"
"chip","8","467"
"chocolates","8","468"
"oreo","8","529"
"delicious","8","553"
"mmmmm","8","558"
"brownie","8","574"
"bars","8","591"
"caramel","8","680"
"vanilla","8","698"
"milkshake","8","743"
"ate","8","752"
"mint","8","795"
"mmm","8","797"
"pudding","8","834"
"craving","8","871"
"mmmm","8","886"
"yummy","8","931"
"strawberries","8","1015"
"yum","8","1051"
"cake","8","1112"
"dark","8","1158"
"fudge","8","1243"
"bar","8","1263"
"icecream","8","1406"
"strawberry","8","1652"
"factory","8","2108"
"covered","8","2207"
"cheesecake","8","2241"
"milk","8","2375"
"hot","8","2422"
"eating","8","2518"
"chocolate","8","18726"
"fellas","9","37"
"whip","9","88"
"bean","9","93"
"refreshing","9","99"
"uber","9","138"
"chilled","9","140"
"talked","9","179"
"peeps","9","209"
"coolest","9","232"
"it'd","9","233"
"beans","9","288"
"cooler","9","317"
"bro","9","403"
"hung","9","414"
"breeze","9","496"
"met","9","898"
"chill","9","978"
"hang","9","1259"
"super","9","1373"
"guy","9","1430"
"nice","9","3041"
"pretty","9","9707"
"cool","9","27817"
"collins","10","38"
"killers","10","42"
"user","10","46"
"lawrence","10","49"
"thompson","10","50"
"fred","10","50"
"brooks","10","52"
"wright","10","54"
"exists","10","65"
"carter","10","66"
"grumpy","10","74"
"psycho","10","79"
"moore","10","84"
"parker","10","86"
"clark","10","96"
"potato","10","97"
"wilson","10","99"
"mister","10","170"
"jones","10","197"
"anderson","10","210"
"robinson","10","214"
"president","10","264"
"congratulations","10","285"
"aka","10","295"
"rogers","10","450"
"fox","10","474"
"bean","10","605"
"smith","10","628"
"fantastic","10","927"
"ms","10","1832"
"mrs","10","7696"
"mr","10","30106"
"overnight","11","55"
"eleven","11","62"
"pooped","11","66"
"scheduled","11","77"
"closing","11","143"
"overtime","11","155"
"split","11","234"
"workin","11","282"
"twelve","11","368"
"hrs","11","480"
"extra","11","949"
"worked","11","1383"
"shifts","11","1665"
"hours","11","3393"
"delay","11","3404"
"hr","11","4428"
"half","11","4666"
"shift","11","8779"
"hour","11","18542"
"collins","12","32"
"nelson","12","50"
"roy","12","68"
"terry","12","73"
"iii","12","86"
"pete","12","94"
"cole","12","96"
"marcus","12","107"
"kenny","12","109"
"legend","12","112"
"madison","12","115"
"paige","12","126"
"jerry","12","133"
"shawn","12","136"
"melissa","12","157"
"oliver","12","157"
"charlotte","12","159"
"almighty","12","165"
"victoria","12","169"
"richard","12","176"
"steven","12","178"
"evan","12","180"
"crystal","12","185"
"aka","12","188"
"sara","12","194"
"lewis","12","200"
"jordan","12","208"
"ann","12","214"
"jones","12","219"
"jessica","12","225"
"cliff","12","250"
"mrs","12","310"
"smith","12","333"
"jamie","12","365"
"amy","12","678"
"campbell","12","740"
"le","12","814"
"evans","12","958"
"leo","12","1791"
"tommy","12","1938"
"bruce","12","3196"
"lee","12","7846"
"nostalgic","13","45"
"rushing","13","72"
"nostalgia","13","74"
"flooding","13","112"
"childhood","13","244"
"fond","13","291"
"bounce","13","1822"
"bringing","13","2585"
"brought","13","3737"
"brings","13","4469"
"memories","13","5723"
"bring","13","7324"
"back","13","24271"
"gpa","14","39"
"engagement","14","49"
"achievement","14","54"
"attended","14","56"
"kudos","14","59"
"engineering","14","65"
"brother's","14","72"
"nurses","14","74"
"esp","14","76"
"credits","14","77"
"certificate","14","77"
"bachelor","14","90"
"accomplishment","14","93"
"newly","14","93"
"registered","14","95"
"attending","14","108"
"promotion","14","116"
"goodluck","14","126"
"earned","14","138"
"academy","14","145"
"mates","14","150"
"attend","14","152"
"completed","14","158"
"reunion","14","171"
"celebration","14","179"
"honors","14","216"
"passing","14","233"
"cum","14","247"
"kindergarten","14","284"
"career","14","287"
"senior","14","292"
"university","14","306"
"stage","14","323"
"program","14","381"
"hs","14","396"
"classmates","14","491"
"nursing","14","501"
"masters","14","520"
"fellow","14","593"
"highschool","14","629"
"grade","14","674"
"ceremony","14","731"
"students","14","758"
"grad","14","817"
"batch","14","1046"
"seniors","14","1274"
"graduates","14","1391"
"officially","14","1518"
"degree","14","1560"
"graduated","14","1856"
"graduating","14","2461"
"graduate","14","2468"
"college","14","3149"
"class","14","3263"
"congratulations","14","3534"
"congrats","14","4558"
"proud","14","5393"
"graduation","14","6482"
"napping","15","33"
"refreshed","15","79"
"attempt","15","81"
"refuses","15","92"
"lastnight","15","101"
"deprived","15","150"
"sleeps","15","195"
"cranky","15","210"
"rested","15","221"
"peaceful","15","225"
"woken","15","394"
"awake","15","454"
"couldnt","15","534"
"nap","15","545"
"exhausted","15","570"
"night's","15","583"
"restless","15","608"
"decent","15","693"
"nightmares","15","779"
"waking","15","801"
"woke","15","1202"
"couldn't","15","1209"
"bed","15","1815"
"nights","15","2288"
"wake","15","2732"
"tired","15","3741"
"night","15","7869"
"hours","15","7871"
"sleep","15","28737"
"whipped","16","43"
"weekly","16","45"
"hustle","16","68"
"pat","16","117"
"grin","16","159"
"slam","16","161"
"fort","16","223"
"shape","16","268"
"smith","16","319"
"bump","16","467"
"groove","16","868"
"daily","16","1030"
"laid","16","1430"
"track","16","1682"
"hair","16","2445"
"whip","16","3280"
"grind","16","3965"
"back","16","33412"
"atmosphere","17","58"
"celebrated","17","63"
"prosperity","17","96"
"joyful","17","98"
"goddess","17","101"
"alll","17","129"
"occasion","17","163"
"sweets","17","166"
"b'day","17","168"
"celebration","17","204"
"colors","17","221"
"crackers","17","224"
"colours","17","240"
"cheers","17","260"
"evry","17","278"
"wishin","17","323"
"advance","17","330"
"frnds","17","470"
"festival","17","769"
"prosperous","17","787"
"al","17","1062"
"safe","17","1116"
"enjoy","17","1243"
"holi","17","1872"
"wishing","17","3207"
"diwali","17","4494"
"happy","17","23945"
"dinners","18","37"
"freinds","18","45"
"joyful","18","59"
"travels","18","62"
"supportive","18","64"
"reflect","18","65"
"feast","18","93"
"fortunate","18","95"
"importantly","18","96"
"extended","18","112"
