"0","turtle","3412.0","giant","3160.0","shell","1778.0","ninja","1740.0","turtles","1509.0","penguin","1494.0","mega","1321.0","midget","1127.0","teenage","807.0","naked","526.0","named","502.0","huge","413.0","awkward","365.0","wonders","358.0","homeless","350.0","sea","322.0","saved","280.0","shark","246.0","pet","235.0","robot","194.0"
"1","asked","17848.0","told","7378.0","wanted","3468.0","replied","3422.0","boy","1838.0","looked","1752.0","gave","1482.0","lady","1375.0","response","1313.0","walked","1116.0","couldn't","959.0","reply","861.0","answered","769.0","smiled","685.0","doll","578.0","grew","421.0","showed","366.0","wrote","362.0","explained","314.0","refused","272.0"
"2","hate","16269.0","haters","5102.0","hating","2949.0","jealous","2395.0","hater","1705.0","bitches","1198.0","mad","908.0","hated","847.0","hatin","815.0","jealousy","532.0","famous","375.0","lovers","345.0","ya'll","192.0","envy","179.0","phase","159.0","ruin","156.0","secretly","95.0","hotter","76.0","specially","68.0","colder","47.0"
"3","wanna","14770.0","hang","12140.0","text","8987.0","bored","8702.0","call","5927.0","talk","3458.0","chill","1953.0","txt","1911.0","plans","1458.0","hangout","943.0","somethin","901.0","ou","895.0","idk","647.0","wana","442.0","hmu","297.0","han","175.0","lemme","145.0","gimme","117.0","ahold","114.0","needa","87.0"
"4","snow","18644.0","roads","3787.0","drive","3460.0","car","3240.0","driveway","2555.0","ice","2360.0","stuck","2318.0","shovel","1565.0","driving","1502.0","road","1229.0","shoveling","1227.0","covered","1018.0","snowed","996.0","icy","898.0","clear","854.0","cars","764.0","inches","631.0","careful","612.0","cleared","574.0","street","548.0"
"5","car","11198.0","cop","3952.0","cars","3286.0","parking","3105.0","ticket","2761.0","driving","2712.0","pulled","2704.0","cops","1991.0","street","1729.0","front","1563.0","police","1452.0","parked","1401.0","drive","1385.0","speeding","1345.0","park","1287.0","spot","1074.0","traffic","1046.0","drove","990.0","window","826.0","lights","760.0"
"6","forward","17822.0","lookin","11937.0","ward","2042.0","marcus","1304.0","foward","878.0","seein","482.0","tonite","456.0","catching","302.0","tommorow","230.0","tomorow","210.0","messy","172.0","wi","145.0","girlies","137.0","tommorrow","120.0","movin","99.0","cookin","88.0","hopin","81.0","infinity","60.0","morn","51.0"
"7","weekend","17377.0","awesome","11905.0","amazing","8245.0","great","8106.0","retreat","2242.0","couples","490.0","cheers","359.0","buds","93.0","flippin","46.0"
"8","chocolate","18726.0","eating","2518.0","hot","2422.0","milk","2375.0","cheesecake","2241.0","covered","2207.0","factory","2108.0","strawberry","1652.0","icecream","1406.0","bar","1263.0","fudge","1243.0","dark","1158.0","cake","1112.0","yum","1051.0","strawberries","1015.0","yummy","931.0","mmmm","886.0","craving","871.0","pudding","834.0","mmm","797.0"
"9","cool","27817.0","pretty","9707.0","nice","3041.0","guy","1430.0","super","1373.0","hang","1259.0","chill","978.0","met","898.0","breeze","496.0","hung","414.0","bro","403.0","cooler","317.0","beans","288.0","it'd","233.0","coolest","232.0","peeps","209.0","talked","179.0","chilled","140.0","uber","138.0","refreshing","99.0"
"10","mr","30106.0","mrs","7696.0","ms","1832.0","fantastic","927.0","smith","628.0","bean","605.0","fox","474.0","rogers","450.0","aka","295.0","congratulations","285.0","president","264.0","robinson","214.0","anderson","210.0","jones","197.0","mister","170.0","wilson","99.0","potato","97.0","clark","96.0","parker","86.0","moore","84.0"
"11","hour","18542.0","shift","8779.0","half","4666.0","hr","4428.0","delay","3404.0","hours","3393.0","shifts","1665.0","worked","1383.0","extra","949.0","hrs","480.0","twelve","368.0","workin","282.0","split","234.0","overtime","155.0","closing","143.0","scheduled","77.0","pooped","66.0","eleven","62.0","overnight","55.0"
"12","lee","7846.0","bruce","3196.0","tommy","1938.0","leo","1791.0","evans","958.0","le","814.0","campbell","740.0","amy","678.0","jamie","365.0","smith","333.0","mrs","310.0","cliff","250.0","jessica","225.0","jones","219.0","ann","214.0","jordan","208.0","lewis","200.0","sara","194.0","aka","188.0","crystal","185.0"
"13","back","24271.0","bring","7324.0","memories","5723.0","brings","4469.0","brought","3737.0","bringing","2585.0","bounce","1822.0","fond","291.0","childhood","244.0","flooding","112.0","nostalgia","74.0","rushing","72.0","nostalgic","45.0"
"14","graduation","6482.0","proud","5393.0","congrats","4558.0","congratulations","3534.0","class","3263.0","college","3149.0","graduate","2468.0","graduating","2461.0","graduated","1856.0","degree","1560.0","officially","1518.0","graduates","1391.0","seniors","1274.0","batch","1046.0","grad","817.0","students","758.0","ceremony","731.0","grade","674.0","highschool","629.0","fellow","593.0"
"15","sleep","28737.0","hours","7871.0","night","7869.0","tired","3741.0","wake","2732.0","nights","2288.0","bed","1815.0","couldn't","1209.0","woke","1202.0","waking","801.0","nightmares","779.0","decent","693.0","restless","608.0","night's","583.0","exhausted","570.0","nap","545.0","couldnt","534.0","awake","454.0","woken","394.0","peaceful","225.0"
"16","back","33412.0","grind","3965.0","whip","3280.0","hair","2445.0","track","1682.0","laid","1430.0","daily","1030.0","groove","868.0","bump","467.0","smith","319.0","shape","268.0","fort","223.0","slam","161.0","grin","159.0","pat","117.0","hustle","68.0","weekly","45.0","whipped","43.0"
"17","happy","23945.0","diwali","4494.0","wishing","3207.0","holi","1872.0","enjoy","1243.0","safe","1116.0","al","1062.0","prosperous","787.0","festival","769.0","frnds","470.0","advance","330.0","wishin","323.0","evry","278.0","cheers","260.0","colours","240.0","crackers","224.0","colors","221.0","celebration","204.0","b'day","168.0","sweets","166.0"
"18","thankful","16341.0","family","14986.0","happy","14462.0","thanksgiving","14392.0","friends","12069.0","wonderful","3732.0","blessed","1801.0","safe","1618.0","enjoy","1431.0","holiday","1358.0","grateful","1043.0","blessings","727.0","wishing","695.0","turkey","558.0","holidays","409.0","healthy","384.0","families","382.0","health","352.0","greatful","133.0","extended","112.0"
"19","i'm","24360.0","thinking","17492.0","wondering","3887.0","sitting","3644.0","starting","1462.0","missing","663.0","heck","454.0","putting","319.0","contemplating","238.0","staring","218.0","pondering","17.0"
"20","sister","6079.0","niece","5124.0","nephew","5057.0","loves","4538.0","aunt","3490.0","nieces","3335.0","nephews","3023.0","secrets","1484.0","auntie","1267.0","mother","1262.0","mommy","1078.0","hugs","1058.0","neice","994.0","sisters","600.0","babysitting","580.0","adorable","563.0","aunty","546.0","sis","522.0","behave","520.0","cutest","228.0"
